epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,44.293,1.26887,2.58423,1.68092,0.75782,0.65,0.85518,0.61429,1.70137,1.21372,1.39782,1.90876e-05,1.90876e-05,1.90876e-05
22,45.9815,1.07299,2.35934,1.50543,0.75782,0.65,0.85518,0.61429,1.70137,1.21372,1.39782,1.97946e-05,1.97946e-05,1.97946e-05
23,47.6676,1.04404,1.88867,1.47019,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.0478e-05,2.0478e-05,2.0478e-05
24,49.4934,1.05927,2.20528,1.49049,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.11379e-05,2.11379e-05,2.11379e-05
25,51.338,0.85469,1.48188,1.22197,0.70576,0.67229,0.85556,0.61089,1.71254,1.28386,1.40329,2.17741e-05,2.17741e-05,2.17741e-05
26,53.2013,1.1304,1.84475,1.44798,0.70576,0.67229,0.85556,0.61089,1.71254,1.28386,1.40329,2.23869e-05,2.23869e-05,2.23869e-05
27,54.9781,0.90987,1.74951,1.40025,0.69307,0.67682,0.85599,0.61129,1.7186,1.32012,1.40507,2.2976e-05,2.2976e-05,2.2976e-05
28,56.6345,0.814,1.26362,1.15619,0.69307,0.67682,0.85599,0.61129,1.7186,1.32012,1.40507,2.35417e-05,2.35417e-05,2.35417e-05
29,58.3831,0.99515,1.51676,1.27472,0.68719,0.67854,0.85533,0.60864,1.70094,1.32333,1.39358,2.40837e-05,2.40837e-05,2.40837e-05
30,60.1619,1.28809,2.33646,1.62375,0.68719,0.67854,0.85533,0.60864,1.70094,1.32333,1.39358,2.46022e-05,2.46022e-05,2.46022e-05
31,62.0181,1.01177,1.44092,1.32514,0.67257,0.66667,0.85353,0.6107,1.71736,1.36024,1.4059,2.50971e-05,2.50971e-05,2.50971e-05
32,63.7606,0.85974,1.31555,1.23501,0.67257,0.66667,0.85353,0.6107,1.71736,1.36024,1.4059,2.55685e-05,2.55685e-05,2.55685e-05
33,65.6319,0.85509,1.30839,1.40201,0.65285,0.7,0.76953,0.53395,1.71053,1.39722,1.40586,2.60163e-05,2.60163e-05,2.60163e-05
34,67.373,1.02767,1.24956,1.29161,0.65285,0.7,0.76953,0.53395,1.71053,1.39722,1.40586,2.64405e-05,2.64405e-05,2.64405e-05
35,69.154,0.89787,2.18023,1.31171,0.65998,0.7,0.76991,0.5187,1.70462,1.42413,1.40082,2.68412e-05,2.68412e-05,2.68412e-05
36,70.8524,0.90084,1.54592,1.17568,0.65998,0.7,0.76991,0.5187,1.70462,1.42413,1.40082,2.72183e-05,2.72183e-05,2.72183e-05
37,72.5748,0.76557,1.05538,1.15326,0.66597,0.7,0.76976,0.5104,1.69011,1.44637,1.39893,2.75718e-05,2.75718e-05,2.75718e-05
38,74.2142,0.48282,0.72749,0.98084,0.66597,0.7,0.76976,0.5104,1.69011,1.44637,1.39893,2.79018e-05,2.79018e-05,2.79018e-05
39,75.9589,0.62383,0.90944,1.00523,0.67366,0.69421,0.76946,0.50368,1.66011,1.47885,1.38562,2.82082e-05,2.82082e-05,2.82082e-05
40,77.6327,0.80076,0.8244,1.16413,0.67366,0.69421,0.76946,0.50368,1.66011,1.47885,1.38562,2.84911e-05,2.84911e-05,2.84911e-05
41,79.3589,0.7299,0.9022,1.04904,0.67187,0.66427,0.74235,0.47928,1.62711,1.50078,1.36966,2.87504e-05,2.87504e-05,2.87504e-05
42,81.2479,0.88766,1.9107,1.27044,0.67187,0.66427,0.74235,0.47928,1.62711,1.50078,1.36966,2.89861e-05,2.89861e-05,2.89861e-05
43,83.0376,0.83802,1.25152,1.22846,0.66978,0.65,0.72537,0.45138,1.66027,1.56748,1.3939,2.91983e-05,2.91983e-05,2.91983e-05
44,84.7502,1.05134,0.9712,1.43458,0.66978,0.65,0.72537,0.45138,1.66027,1.56748,1.3939,2.93869e-05,2.93869e-05,2.93869e-05
45,86.614,0.63153,0.92245,0.99883,0.68414,0.65,0.70408,0.43634,1.6567,1.57731,1.39612,2.9552e-05,2.9552e-05,2.9552e-05
46,88.4132,0.80411,1.00986,1.22277,0.68414,0.65,0.70408,0.43634,1.6567,1.57731,1.39612,2.96935e-05,2.96935e-05,2.96935e-05
47,90.1671,0.81267,1.44376,1.31239,0.70981,0.65,0.69898,0.43182,1.65734,1.62529,1.40127,2.98114e-05,2.98114e-05,2.98114e-05
48,92.0405,0.85691,1.61903,1.20506,0.70981,0.65,0.69898,0.43182,1.65734,1.62529,1.40127,2.99058e-05,2.99058e-05,2.99058e-05
49,93.9343,0.66566,0.70015,1.25164,0.74797,0.65,0.69701,0.4298,1.66695,1.64158,1.40599,2.99766e-05,2.99766e-05,2.99766e-05
50,96.0138,0.78203,0.78858,1.28673,0.74797,0.65,0.69701,0.4298,1.66695,1.64158,1.40599,3.00238e-05,3.00238e-05,3.00238e-05
51,97.9751,0.82633,0.86365,1.12389,0.75825,0.65,0.69301,0.42659,1.63964,1.65691,1.39819,3.00475e-05,3.00475e-05,3.00475e-05
52,99.8854,0.93422,0.96087,1.31323,0.75825,0.65,0.69301,0.42659,1.63964,1.65691,1.39819,3.00476e-05,3.00476e-05,3.00476e-05
53,101.74,0.6511,0.70965,1.18009,0.75825,0.65,0.69301,0.42659,1.63964,1.65691,1.39819,3.00242e-05,3.00242e-05,3.00242e-05
54,103.733,0.82664,0.94945,1.26935,0.72229,0.65,0.68047,0.41486,1.63633,1.72532,1.40626,2.99772e-05,2.99772e-05,2.99772e-05
55,105.575,0.78652,0.92531,1.11966,0.72229,0.65,0.68047,0.41486,1.63633,1.72532,1.40626,2.99066e-05,2.99066e-05,2.99066e-05
56,107.557,1.15871,1.42022,1.63166,0.72229,0.65,0.68047,0.41486,1.63633,1.72532,1.40626,2.98125e-05,2.98125e-05,2.98125e-05
57,109.605,0.92564,1.5214,1.36615,0.70714,0.6795,0.68239,0.3989,1.65604,1.74919,1.42054,2.96948e-05,2.96948e-05,2.96948e-05
58,111.256,0.8583,1.4917,1.27191,0.70714,0.6795,0.68239,0.3989,1.65604,1.74919,1.42054,2.95535e-05,2.95535e-05,2.95535e-05
59,112.912,0.78577,0.81825,1.15814,0.70714,0.6795,0.68239,0.3989,1.65604,1.74919,1.42054,2.93887e-05,2.93887e-05,2.93887e-05
60,114.603,0.93394,0.83013,1.51739,0.73982,0.51667,0.68456,0.40069,1.67999,1.77699,1.44219,2.92003e-05,2.92003e-05,2.92003e-05
61,116.439,0.64678,0.68596,1.06301,0.73982,0.51667,0.68456,0.40069,1.67999,1.77699,1.44219,2.89884e-05,2.89884e-05,2.89884e-05
62,118.07,0.71018,0.90629,1.0525,0.73982,0.51667,0.68456,0.40069,1.67999,1.77699,1.44219,2.87529e-05,2.87529e-05,2.87529e-05
63,119.826,0.79218,0.8585,1.16714,0.82322,0.48585,0.68299,0.40131,1.66032,1.82775,1.44429,2.84938e-05,2.84938e-05,2.84938e-05
64,121.524,0.62462,0.64121,1.06689,0.82322,0.48585,0.68299,0.40131,1.66032,1.82775,1.44429,2.82112e-05,2.82112e-05,2.82112e-05
65,123.138,0.69066,0.69969,1.23919,0.82322,0.48585,0.68299,0.40131,1.66032,1.82775,1.44429,2.7905e-05,2.7905e-05,2.7905e-05
